4,0,0,0,0,2,2,2,1,1
4,0,0,0,1,1,2,2,1,1
5,0,1,0,0,1,2,2,1,1
6,0,0,0,0,3,2,2,0,0
6,0,0,0,0,3,3,2,0,0
6,0,0,0,1,2,2,2,1,1
6,0,0,0,1,2,3,2,0,0
6,0,0,1,1,1,2,2,2,2
6,0,0,1,1,1,3,2,0,0
6,0,2,0,0,0,2,2,0,0
6,1,1,0,0,0,2,2,1,1
7,0,1,0,0,2,2,2,1,1
7,0,1,0,0,2,3,2,0,0
7,0,1,0,1,1,2,2,2,2
7,0,1,0,1,1,3,2,0,0
8,0,0,0,0,4,2,2,0,0
8,0,0,0,0,4,3,2,0,0
8,0,0,0,0,4,4,2,1,1
8,0,0,0,1,3,2,2,0,0
8,0,0,0,1,3,3,2,0,0
8,0,0,0,1,3,4,2,1,1
8,0,0,0,2,2,2,2,0,0
8,0,0,0,2,2,3,2,0,0
8,0,0,0,2,2,4,2,1,1
8,0,0,1,1,2,2,2,1,1
8,0,0,1,1,2,3,2,0,0
8,0,0,1,1,2,4,2,1,1
8,0,2,0,0,1,2,2,1,1
8,0,2,0,0,1,3,2,0,0
8,1,1,0,0,1,2,2,2,2
8,1,1,0,0,1,3,2,0,0
9,0,1,0,0,3,2,2,0,0
9,0,1,0,0,3,3,2,0,0
9,0,1,0,0,3,4,2,1,1
9,0,1,0,1,2,2,2,1,1
9,0,1,0,1,2,3,2,0,0
9,0,1,0,1,2,4,2,1,1
9,0,1,1,1,1,2,2,3,3
9,0,1,1,1,1,3,2,0,0
9,0,1,1,1,1,4,2,1,1
9,0,3,0,0,0,2,2,0,0
9,0,3,0,0,0,3,2,0,0
9,1,2,0,0,0,2,2,1,1
9,1,2,0,0,0,3,2,0,0
10,0,0,0,0,5,2,2,0,0
10,0,0,0,0,5,3,2,0,0
10,0,0,0,0,5,4,2,0,0
10,0,0,0,0,5,5,2,0,0
10,0,0,0,1,4,2,2,0,0
10,0,0,0,1,4,3,2,0,0
10,0,0,0,1,4,4,2,1,1
10,0,0,0,1,4,5,2,0,0
10,0,0,0,2,3,2,2,0,0
10,0,0,0,2,3,3,2,0,0
10,0,0,0,2,3,4,2,1,1
10,0,0,0,2,3,5,2,0,0
10,0,0,1,1,3,2,2,0,0
10,0,0,1,1,3,3,2,0,0
10,0,0,1,1,3,4,2,3,3
10,0,0,1,1,3,5,2,0,0
10,0,0,1,2,2,2,2,0,0
10,0,0,1,2,2,3,2,0,0
10,0,0,1,2,2,4,2,3,3
10,0,0,1,2,2,5,2,0,0
10,0,2,0,0,2,2,2,1,1
10,0,2,0,0,2,3,2,0,0
10,0,2,0,0,2,4,2,0,0
10,0,2,0,1,1,2,2,2,2
10,0,2,0,1,1,3,2,0,0
10,0,2,0,1,1,4,2,0,0
10,1,1,0,0,2,2,2,1,1
10,1,1,0,0,2,3,2,0,0
